Temperature,Humidity,pm2_5,CO
27.028,NA,29.02,
27.846,NA,25.58,
32.046,NA,30.52,
42.16,NA,29.94,
33.342,NA,20.68,
29.418,NA,17.84,
30.419,NA,30.82,
33.146,NA,27.75,
30.892,NA,31.41,
32.326,NA,31.02,
30.419,NA,35.01,
42.16,NA,25.57,
30.892,NA,34.86,
30.694,NA,43.24,
32.046,NA,39.25,
29.418,NA,29.79,
33.146,NA,29.72,
33.342,NA,23.91,
42.16,NA,27.77,
30.694,NA,29.96,
33.146,NA,28.69,
33.342,NA,26.58,
32.326,NA,25.51,
30.419,NA,25.73,
30.892,NA,22.52,
32.046,NA,18.31,
29.418,NA,28.82,
42.16,NA,25.18,
32.326,NA,29.18,
30.694,NA,25.17,
30.892,NA,27.58,
30.419,NA,21.18,
33.342,NA,25.26,
32.046,NA,29.19,
33.146,NA,30.74,
29.418,NA,27.87,
35.61,NA,12.25,
45.779,NA,18.31,
40.058,NA,26.43,
38.907,NA,30.33,
34.767,NA,24.01,
35.801,NA,29.28,
36.379,NA,30.95,
37.939,NA,30.68,
37.383,NA,34.28,
35.801,NA,36.15,
45.779,NA,31.19,
40.058,NA,33.12,
36.379,NA,26.74,
35.61,NA,26.37,
37.939,NA,33.34,
34.767,NA,41,
37.383,NA,35.18,
45.779,NA,28.47,
37.383,NA,,
34.767,NA,33.16,
35.801,NA,26.8,
40.058,NA,28.37,
38.907,NA,24.39,
37.939,NA,34.43,
35.61,NA,40.34,
36.379,NA,43.81,
45.779,NA,32.15,
35.61,NA,26.67,
35.801,NA,29.17,
38.666,NA,31.54,
39.9,NA,33.85,
45.478,NA,32.1,
41.496,NA,34.65,
40.656,NA,29.08,
39.733,NA,22.79,
43.114,NA,38.95,
41.364,NA,23.11,
39.9,NA,23.36,
40.656,NA,22.46,
41.166,NA,25.94,
45.478,NA,27.35,
39.733,NA,24.68,
38.666,NA,20.32,
41.496,NA,40.29,
43.114,NA,42.91,
41.418,NA,42.88,
45.478,NA,59.21,
39.733,NA,26.73,
40.656,NA,15.84,
41.166,NA,12.95,
41.496,NA,4.5,
41.418,NA,30.71,
39.9,NA,32.81,
38.666,NA,34.89,
43.114,NA,34.65,
45.478,NA,46.02,
39.733,NA,33.97,
38.666,NA,44.47,
40.656,NA,25.15,
39.9,NA,19.73,
41.166,NA,23.16,
41.418,NA,28.2,
41.496,NA,29.19,
43.114,NA,26.76,
40.277,NA,18.18,
48.665,NA,27.99,
42.077,NA,94.41,
42.405,NA,112.71,
44.033,NA,81.12,
40.519,NA,34.72,
39.749,NA,51.7,
42.964,NA,30.47,
48.605,NA,90.96,
42.077,NA,34.06,
40.519,NA,18.59,
39.749,NA,26.91,
48.665,NA,24.13,
40.277,NA,48.7,
42.405,NA,49.94,
48.605,NA,68.97,
44.033,NA,44.04,
42.964,NA,43.47,
48.665,NA,37.42,
40.277,NA,59.53,
42.077,NA,93.31,
39.749,NA,70.6,
42.405,NA,38.01,
40.519,NA,65.62,
44.033,NA,79.42,
42.964,NA,77.55,
48.605,NA,41.62,
40.277,NA,33.47,
48.665,NA,44.07,
40.519,NA,68.52,
39.749,NA,108.81,
42.077,NA,90.33,
42.405,NA,88.34,
42.964,NA,115.87,
44.033,NA,57.16,
48.605,NA,39.47,
42.108,NA,34.52,
42.771,NA,25.76,
43.132,NA,16.91,
43.483,NA,11.7,
42.578,NA,8.69,
44.875,NA,32.82,
53.109,NA,28.91,
44.996,NA,42.1,
52.129,NA,28.26,
43.132,NA,25.92,
42.108,NA,31.36,
53.109,NA,28.4,
42.578,NA,37.47,
44.875,NA,30.29,
52.129,NA,11.02,
42.771,NA,32.21,
43.483,NA,57.51,
44.996,NA,60.28,
43.132,NA,41.8,
42.578,NA,14.87,
53.109,NA,7.45,
43.483,NA,7.23,
42.108,NA,6.99,
44.996,NA,7.67,
42.771,NA,26.3,
44.875,NA,46.84,
52.129,NA,56.46,
43.483,NA,46.89,
42.771,NA,89.19,
53.109,NA,45.76,
43.132,NA,11.61,
42.108,NA,12.74,
42.578,NA,23.18,
44.875,NA,86.91,
52.129,NA,63.43,
44.996,NA,16.94,
50.134,NA,17.63,
52.764,NA,71.11,
46.108,NA,63.03,
42.583,NA,59.56,
47.312,NA,119.68,
47.894,NA,57.92,
41.368,NA,63.86,
45.709,NA,40.16,
56.228,NA,8.16,
50.134,NA,13.83,
52.764,NA,26.24,
56.228,NA,32.14,
45.709,NA,42.44,
47.894,NA,53.08,
41.368,NA,63.2,
42.583,NA,9.04,
47.312,NA,6.96,
47.894,NA,101.89,
41.368,NA,96.21,
45.709,NA,48.24,
42.583,NA,32.68,
56.228,NA,49.43,
47.312,NA,78.38,
46.108,NA,26.17,
52.764,NA,40.08,
56.228,NA,18.26,
45.709,NA,11.03,
42.583,NA,16.22,
47.894,NA,18.13,
47.312,NA,22.56,
46.108,NA,16.1,
50.134,NA,34.37,
41.368,NA,37.91,
57.95,NA,17.85,
40.724,NA,13.12,
47.668,NA,11.01,
46.564,NA,46.91,
54.963,NA,61.13,
44.517,NA,9.02,
48.315,NA,10.62,
50.122,NA,10.13,
46.759,NA,15.39,
44.517,NA,20.48,
46.697,NA,14.6,
57.95,NA,50.93,
46.564,NA,45.8,
50.122,NA,19.59,
40.724,NA,20.61,
47.668,NA,32.07,
50.122,NA,35.1,
46.697,NA,28.68,
47.668,NA,17.55,
54.963,NA,64.13,
46.564,NA,8.83,
57.95,NA,16.2,
40.724,NA,12.42,
48.315,NA,56.57,
44.517,NA,42.41,
50.122,NA,13.19,
46.564,NA,12.26,
48.315,NA,14.07,
54.963,NA,14.18,
40.724,NA,9.25,
46.697,NA,15.88,
47.668,NA,9.85,
57.95,NA,12.69,
44.517,NA,23.56,
50.618,NA,34.47,
59.266,NA,48.38,
39.951,NA,29.23,
49.834,NA,10.66,
53.81,NA,17.55,
51.455,NA,34.49,
41.382,NA,15.24,
49.954,NA,10.75,
52.811,NA,26.15,
49.954,NA,17.21,
49.834,NA,12.67,
50.618,NA,18.21,
51.455,NA,80.16,
52.811,NA,13.65,
41.382,NA,24.16,
39.951,NA,43.21,
59.266,NA,41.7,
53.81,NA,26.17,
59.266,NA,20.95,
49.834,NA,15.64,
51.455,NA,54.2,
41.382,NA,61.37,
39.951,NA,50,
49.954,NA,33.94,
53.81,NA,11.84,
52.811,NA,16.25,
36.739,NA,36.74,
51.182,NA,47.6,
52.81,NA,20.27,
63.536,NA,23.05,
40.098,NA,21.56,
55.306,NA,24.47,
51.723,NA,26.28,
50.222,NA,19.53,
54.508,NA,51.44,
52.81,NA,65.1,
50.222,NA,21.38,
63.536,NA,20.83,
36.739,NA,11.75,
40.098,NA,29.7,
55.306,NA,15.24,
51.182,NA,9.19,
54.508,NA,8.88,
51.723,NA,10.74,
50.222,NA,23.23,
63.536,NA,60.25,
52.81,NA,35.37,
54.508,NA,27.88,
40.098,NA,9.49,
36.739,NA,,
55.306,NA,,
51.182,NA,38.54,
51.723,NA,75.71,
52.81,NA,11.92,
54.508,NA,9.13,
51.182,NA,23.43,
51.723,NA,24.04,
40.098,NA,13.77,
36.739,NA,14.52,
55.306,NA,19.4,
50.222,NA,23.99,
63.536,NA,12.69,
51.301,NA,15.56,
66.061,NA,11.8,
54.939,NA,,
53.74,NA,,
55.601,NA,,
40.579,NA,,
37.405,NA,17.26,
54.735,NA,15.08,
52.439,NA,14.67,
66.061,NA,18.02,
52.439,NA,13.27,
55.601,NA,34.56,
37.405,NA,17.47,
53.74,NA,11.03,
51.301,NA,11.44,
40.579,NA,14.29,
54.939,NA,14.31,
66.061,NA,17.96,
51.301,NA,28.03,
54.735,NA,21.39,
55.601,NA,21.02,
54.735,NA,16.43,
53.74,NA,19.89,
52.439,NA,16.75,
40.579,NA,23.83,
54.939,NA,21.8,
66.061,NA,22.33,
53.74,NA,20.89,
37.405,NA,18.87,
40.579,NA,12.63,
54.939,NA,15.49,
54.735,NA,16.38,
51.301,NA,15.2,
52.439,NA,16.31,
55.601,NA,15.38,
65.836,NA,12.8,
53.44,NA,13.75,
51.438,NA,14.4,
54.362,NA,18.89,
53.549,NA,25.17,
55.376,NA,25.92,
59.043,NA,22.25,
38.625,NA,19.2,
39.887,NA,30.2,
51.797,NA,18.86,
62.533,NA,12.65,
47.252,NA,14.35,
41.34,NA,21.05,
47.896,NA,19.38,
54.103,NA,24.95,
30.063,NA,25.55,
47.06,NA,29.88,
54.571,NA,41.59,
39.05,NA,29.06,
29.649,NA,28.45,
39.204,NA,24.72,
26.043,NA,24.13,
26.92,NA,39.11,
24.715,NA,37.12,
41.432,NA,34.67,
44.737,NA,26.15,
29.429,NA,35.85,
39.204,NA,36.14,
44.737,NA,40.51,
26.043,NA,37.34,
24.715,NA,30.92,
41.432,NA,36.22,
30.063,NA,24.82,
29.649,NA,32.1,
26.92,NA,31.97,
29.429,NA,30.5,
26.92,NA,26,
41.432,NA,25.34,
39.204,NA,27.48,
30.063,NA,17.33,
26.043,NA,13.1,
44.737,NA,17.81,
29.429,NA,27.02,
29.649,NA,35.25,
24.715,NA,34.26,
39.204,NA,26.55,
29.649,NA,32.36,
24.715,NA,33.11,
26.043,NA,31.74,
41.432,NA,32.52,
44.737,NA,59.19,
30.063,NA,45.45,
26.92,NA,36.56,
29.429,NA,25.9,
25.764,NA,29.34,
18.554,NA,38.94,
28.441,NA,40.91,
18.911,NA,35.46,
20.712,NA,26.54,
18.24,NA,28.38,
25.412,NA,33.04,
21.876,NA,40.24,
21.68,NA,28.77,
25.764,NA,33.11,
25.412,NA,31.12,
21.876,NA,33.81,
20.712,NA,30.09,
18.554,NA,36.78,
28.441,NA,34.38,
18.911,NA,26.7,
21.68,NA,24.36,
25.764,NA,24.41,
18.554,NA,25.81,
18.911,NA,18.93,
21.876,NA,21.13,
25.412,NA,36.07,
28.441,NA,46.11,
18.911,NA,27.22,
25.764,NA,37.89,
18.554,NA,36,
28.441,NA,30.71,
21.876,NA,24.16,
20.712,NA,25.23,
25.412,NA,29.4,
21.68,NA,16.72,
18.24,NA,20.81,
17.587,NA,22.28,
20.087,NA,25.02,
18.255,NA,18.87,
19.207,NA,21.33,
17.976,NA,23.33,
19.804,NA,45.92,
21.354,NA,49.78,
17.433,NA,51.32,
20.087,NA,40.14,
21.354,NA,37.54,
17.976,NA,23.87,
17.587,NA,36.34,
19.207,NA,25.45,
17.433,NA,31.7,
18.255,NA,11.26,
20.068,NA,17.41,
19.804,NA,13.26,
20.087,NA,19.33,
17.433,NA,18.72,
18.255,NA,23.56,
17.587,NA,18.91,
17.976,NA,18.36,
21.354,NA,24.72,
19.804,NA,14.94,
20.068,NA,11.62,
19.207,NA,11.85,
20.087,NA,21.47,
17.587,NA,18.9,
19.804,NA,25.05,
17.433,NA,49.58,
18.255,NA,55.22,
20.068,NA,36.34,
19.207,NA,45.99,
21.354,NA,82.73,
18.03,NA,59.24,
17.705,NA,34.88,
17.599,NA,68.52,
18.797,NA,119.3,
19.224,NA,45.18,
18.473,NA,57.78,
17.774,NA,51.18,
19.707,NA,39.85,
17.705,NA,40.53,
18.03,NA,6.94,
17.599,NA,5.69,
17.774,NA,1.7,
18.797,NA,3.67,
19.707,NA,6.05,
19.225,NA,4.79,
18.473,NA,7.26,
17.774,NA,1.41,
19.225,NA,7.32,
18.03,NA,7.95,
17.705,NA,7.42,
17.599,NA,16.72,
19.707,NA,22.31,
18.797,NA,9.85,
18.473,NA,10.87,
19.707,NA,23.59,
17.599,NA,28.8,
18.03,NA,17.04,
18.473,NA,28.47,
17.705,NA,15.77,
18.797,NA,14.87,
17.774,NA,14.05,
19.225,NA,9.16,
16.805,NA,17.69,
18.281,NA,47.92,
16.912,NA,18.8,
16.047,NA,20.01,
18.417,NA,10.3,
17.282,NA,28.74,
17.123,NA,29.52,
17.804,NA,42.34,
16.805,NA,39.43,
16.047,NA,34.48,
16.912,NA,17.98,
18.417,NA,17.1,
18.281,NA,19.45,
17.123,NA,17.72,
17.282,NA,20.3,
17.804,NA,16.8,
16.805,NA,11.11,
16.912,NA,7.78,
16.047,NA,5.55,
18.281,NA,8.07,
17.282,NA,5.26,
17.804,NA,4.02,
17.123,NA,3.87,
18.417,NA,4.32,
16.805,NA,7.8,
16.912,NA,14.15,
18.417,NA,9.08,
17.123,NA,12.09,
16.047,NA,12.83,
17.804,NA,26.73,
17.282,NA,26.27,
17.053,NA,14.39,
15.679,NA,6.92,
15.844,NA,4.66,
17.135,NA,2.56,
16.183,NA,5.2,
17.003,NA,5.67,
14.839,NA,8.84,
16.079,NA,28.91,
16.059,NA,29.17,
17.053,NA,10.97,
14.839,NA,3.75,
15.679,NA,2.2,
,NA,1.89,
17.135,NA,4.07,
17.003,NA,6.64,
16.183,NA,17.34,
15.844,NA,11.4,
14.839,NA,30.94,
,NA,34.49,
17.053,NA,6.36,
17.135,NA,3.78,
16.183,NA,3.63,
17.003,NA,7.06,
16.059,NA,8.97,
15.679,NA,5.41,
15.844,NA,7.17,
15.679,NA,7.37,
17.053,NA,2.38,
14.839,NA,2.41,
17.003,NA,2.5,
16.059,NA,2.38,
16.183,NA,8.81,
17.135,NA,8.08,
,NA,3.26,
15.844,NA,3.59,
14.069,NA,3.75,
15.43,NA,20.06,
14.141,NA,24.98,
16.205,NA,13.05,
14.88,NA,20.86,
14.937,NA,33,
16.169,NA,20.18,
16.512,NA,10.39,
14.25,NA,18.14,
14.25,NA,19.52,
14.937,NA,118,
16.169,NA,9.53,
14.069,NA,11.31,
15.439,NA,20.76,
16.205,NA,36.07,
14.88,NA,36.16,
14.141,NA,15.2,
16.512,NA,9.38,
15.439,NA,10.08,
14.141,NA,29.48,
14.88,NA,30.93,
14.069,NA,6.1,
16.169,NA,23.75,
16.205,NA,14.56,
14.937,NA,6.25,
16.512,NA,8.62,
14.25,NA,12.48,
14.069,NA,27.61,
14.937,NA,57.7,
15.439,NA,18.72,
16.169,NA,24.78,
16.512,NA,14.28,
14.141,NA,43.22,
14.88,NA,59.34,
16.205,NA,42.62,
14.25,NA,22.33,
14.069,NA,10.49,
14.937,NA,4.78,
15.439,NA,4.22,
14.25,NA,10.92,
16.205,NA,31.41,
14.88,NA,70.45,
16.169,NA,92.96,
14.141,NA,57.77,
16.512,NA,17.8,
14.996,NA,22.34,
13.813,NA,23.13,
14.183,NA,21.26,
15.483,NA,7.4,
14.297,NA,8.43,
15.658,NA,10.7,
16.594,NA,12.19,
15.027,NA,7.87,
14.506,NA,5.55,
13.813,NA,2.28,
14.996,NA,3.56,
15.483,NA,6.04,
14.297,NA,6.95,
14.506,NA,4,
15.027,NA,5.11,
14.183,NA,3.89,
15.658,NA,16.02,
14.183,NA,15.45,
15.658,NA,15.07,
15.027,NA,4.67,
16.594,NA,9.82,
15.483,NA,5.47,
14.297,NA,4.98,
13.813,NA,2.96,
14.996,NA,4.28,
14.506,NA,7.11,
13.813,NA,5.23,
14.996,NA,4.67,
15.483,NA,3.08,
14.297,NA,4.11,
14.506,NA,3.85,
16.594,NA,4.5,
14.183,NA,4.46,
15.027,NA,4.51,
14.345,NA,3.82,
16.025,NA,3.35,
16.402,NA,3.75,
16.28,NA,3.87,
14.842,NA,5.19,
17.535,NA,5.07,
16.018,NA,0.59,
15.303,NA,0.45,
16.076,NA,0.36,
15.303,NA,0.39,
16.031,NA,0.37,
14.345,NA,0.43,
14.842,NA,0.36,
16.402,NA,0.36,
16.28,NA,0.41,
16.018,NA,0.36,
16.103,NA,0.34,
17.535,NA,0.39,
14.345,NA,0.45,
16.28,NA,0.35,
16.018,NA,0.28,
15.303,NA,0.38,
14.842,NA,0.4,
16.402,NA,0.46,
17.535,NA,0.46,
16.402,NA,0.67,
16.018,NA,0.46,
16.032,NA,0.54,
14.345,NA,0.56,
16.28,NA,0.64,
14.842,NA,0.73,
17.535,NA,0.54,
15.303,NA,0.67,
16.103,NA,0.4,
16.402,NA,0.51,
15.936,NA,0.55,
15.936,NA,0.77,
17.479,NA,0.54,
17.392,NA,0.58,
17.02,NA,0.48,
16.929,NA,0.49,
18.497,NA,0.51,
16.598,NA,0.39,
16.611,NA,0.68,
16.402,NA,0.62,
16.929,NA,0.61,
15.936,NA,0.69,
17.02,NA,0.56,
17.392,NA,0.65,
18.497,NA,0.67,
17.479,NA,0.81,
15.936,NA,0.57,
15.936,NA,0.59,
16.402,NA,0.83,
17.02,NA,0.56,
17.479,NA,0.57,
16.929,NA,0.41,
16.611,NA,0.4,
15.936,NA,0.64,
18.497,NA,0.45,
17.392,NA,0.44,
15.936,NA,0.79,
16.402,NA,0.63,
17.479,NA,0.71,
17.392,NA,0.82,
16.611,NA,0.57,
17.02,NA,0.86,
16.929,NA,0.85,
15.936,NA,0.68,
18.497,NA,0.85,
20.522,NA,1.18,
19.37,NA,0.86,
20.266,NA,0.85,
19.842,NA,0.85,
18.702,NA,0.81,
18.897,NA,0.56,
21.493,NA,0.71,
19.245,NA,0.5,
21.237,NA,0.7,
21.493,NA,0.52,
20.522,NA,0.51,
19.842,NA,0.75,
18.897,NA,0.65,
19.37,NA,0.59,
18.702,NA,0.49,
21.237,NA,0.52,
20.266,NA,0.67,
19.245,NA,0.73,
19.37,NA,0.28,
20.266,NA,0.6,
18.897,NA,0.56,
20.522,NA,0.57,
19.842,NA,0.57,
19.245,NA,0.48,
18.702,NA,0.5,
21.493,NA,0.48,
21.237,NA,0.47,
25.886,NA,0.48,
24.277,NA,0.49,
25.832,NA,0.49,
27.268,NA,0.37,
26.672,NA,0.32,
29.587,NA,0.37,
28.759,NA,0.44,
28.275,NA,0.42,
22.677,NA,0.4,
22.677,NA,0.44,
26.672,NA,0.36,
25.886,NA,0.42,
29.587,NA,0.4,
27.268,NA,0.45,
24.277,NA,0.4,
25.832,NA,0.29,
28.759,NA,0.26,
28.275,NA,0.31,
22.677,NA,0.31,
25.886,NA,0.3,
25.832,NA,0.27,
29.587,NA,0.39,
26.672,NA,0.41,
27.268,NA,0.37,
24.277,NA,0.27,
28.275,NA,0.36,
28.759,NA,0.47,
24.277,NA,0.42,
25.886,NA,0.28,
27.268,NA,0.22,
29.587,NA,0.25,
25.832,NA,0.22,
22.677,NA,0.25,
26.672,NA,0.27,
28.759,NA,0.24,
28.275,NA,0.26,
30.133,NA,0.21,
38.486,NA,0.18,
34.107,NA,0.18,
28.145,NA,0.25,
32.919,NA,0.26,
31.293,NA,0.21,
31.891,NA,0.24,
29.156,NA,0.3,
31.186,NA,0.28,
30.133,NA,0.19,
38.486,NA,0.23,
31.891,NA,0.27,
29.156,NA,0.24,
28.145,NA,0.27,
32.919,NA,0.32,
31.293,NA,0.37,
34.107,NA,0.31,
31.186,NA,0.39,
38.486,NA,0.42,
31.186,NA,0.37,
30.133,NA,0.32,
29.156,NA,0.31,
31.891,NA,0.27,
31.293,NA,0.23,
28.145,NA,0.38,
32.919,NA,0.36,
34.107,NA,0.31,
38.486,NA,0.21,
31.186,NA,0.25,
30.133,NA,0.25,
31.891,NA,0.19,
28.145,NA,0.19,
29.156,NA,0.22,
32.919,NA,0.21,
31.293,NA,0.24,
34.107,NA,0.24,
31.953,NA,0.22,
42.272,NA,0.17,
,NA,0.22,
33.578,NA,0.24,
33.662,NA,0.24,
35.425,NA,0.19,
36.931,NA,0.24,
34.746,NA,0.21,
30.541,NA,0.18,
,NA,0.41,
33.578,NA,0.33,
35.425,NA,0.22,
31.953,NA,0.21,
36.931,NA,0.2,
33.662,NA,0.17,
30.541,NA,0.16,
42.272,NA,0.17,
42.272,NA,0.17,
35.425,NA,0.16,
,NA,0.15,
33.578,NA,0.2,
31.953,NA,0.22,
30.541,NA,0.15,
36.931,NA,0.16,
33.662,NA,0.05,
34.746,NA,0.07,
42.272,NA,0.05,
31.953,NA,0.03,
33.578,NA,0.02,
35.425,NA,0.02,
34.746,NA,0.12,
30.541,NA,0.11,
,NA,0.02,
36.931,NA,0.1,
33.662,NA,0.12,
47.614,NA,0.14,
35.274,NA,0.11,
36.72,NA,0.09,
33.674,NA,0.16,
,NA,0.12,
38.081,NA,0.1,
39.058,NA,0.1,
40.234,NA,0.15,
36.884,NA,0.18,
36.884,NA,0.12,
,NA,0.11,
36.72,NA,0.13,
39.058,NA,0.27,
40.234,NA,0.09,
33.674,NA,0.1,
38.081,NA,0.16,
35.274,NA,0.24,
47.737,NA,0.15,
,NA,0.14,
35.274,NA,0.1,
39.058,NA,0.17,
36.884,NA,0.08,
40.234,NA,0.11,
33.674,NA,0.13,
36.72,NA,0.3,
38.081,NA,0.14,
47.737,NA,0.15,
47.737,NA,0.15,
35.274,NA,0.22,
40.234,NA,0.1,
33.674,NA,0.17,
36.72,NA,0.23,
38.081,NA,0.27,
,NA,0.17,
36.884,NA,0.1,
39.058,NA,0.08,
36.064,NA,0.09,
36.627,NA,0.09,
42.875,NA,0.09,
,NA,0.11,
46.641,NA,0.08,
43.252,NA,0.07,
38.759,NA,0.07,
38.235,NA,0.09,
41.83,NA,0.05,
46.652,NA,0.1,
36.064,NA,0.08,
,NA,0.04,
36.627,NA,0.05,
42.875,NA,0.05,
43.252,NA,0.05,
38.759,NA,0.06,
41.83,NA,0.06,
38.235,NA,0.05,
46.652,NA,0.06,
36.064,NA,0.13,
38.759,NA,0.05,
,NA,0.06,
43.252,NA,0.06,
42.875,NA,0.06,
36.627,NA,0.06,
41.83,NA,0.08,
38.235,NA,0.09,
46.652,NA,0.06,
42.875,NA,0.07,
38.759,NA,0.05,
,NA,0.04,
36.627,NA,0.05,
43.252,NA,0.07,
41.83,NA,0.07,
38.235,NA,0.06,
41.591,NA,0.66,
39.61,NA,0.81,
40.019,NA,0.97,
42.885,NA,0.9,
41.999,NA,0.61,
48.254,NA,0.61,
,NA,0.62,
45.97,NA,0.68,
41.311,NA,0.86,
48.254,NA,0.95,
39.61,NA,0.69,
41.311,NA,0.78,
,NA,0.67,
42.885,NA,0.49,
41.591,NA,0.58,
41.999,NA,0.64,
45.97,NA,0.58,
40.019,NA,0.6,
,NA,0.85,
40.019,NA,0.7,
41.999,NA,,
41.591,NA,,
45.97,NA,0.81,
48.254,NA,0.79,
39.61,NA,0.79,
42.885,NA,0.72,
41.311,NA,0.65,
39.61,NA,0.66,
48.254,NA,0.78,
41.311,NA,0.81,
41.591,NA,0.75,
,NA,1.03,
45.97,NA,0.91,
40.019,NA,0.64,
42.885,NA,0.78,
41.999,NA,0.68,
44.516,NA,0.72,
45.423,NA,0.56,
,NA,0.58,
44.166,NA,0.58,
41.239,NA,0.7,
41.268,NA,0.8,
51.747,NA,0.7,
44.364,NA,0.57,
41.558,NA,0.92,
41.239,NA,0.59,
51.995,NA,0.6,
41.268,NA,0.73,
41.558,NA,0.67,
44.166,NA,0.68,
44.364,NA,0.58,
44.516,NA,0.83,
45.423,NA,0.69,
41.558,NA,0.57,
44.166,NA,0.64,
41.239,NA,0.55,
44.364,NA,0.56,
,NA,0.67,
44.516,NA,0.72,
45.423,NA,0.69,
41.268,NA,0.87,
41.239,NA,0.74,
44.166,NA,0.65,
45.423,NA,0.81,
,NA,0.5,
51.995,NA,,
41.558,NA,0.54,
44.364,NA,0.59,
41.268,NA,0.61,
44.516,NA,0.47,
43.615,NA,0.5,
40.885,NA,0.53,
,NA,0.73,
42.458,NA,0.44,
39.386,NA,0.56,
43.359,NA,0.66,
56.004,NA,0.36,
39.638,NA,,
43.556,NA,0.62,
40.885,NA,0.76,
39.386,NA,0.6,
39.638,NA,0.48,
43.556,NA,0.66,
43.359,NA,1.01,
56.004,NA,0.45,
,NA,0.8,
42.458,NA,0.85,
43.615,NA,0.49,
40.885,NA,0.56,
56.004,NA,,
,NA,,
43.359,NA,,
39.638,NA,0.54,
39.386,NA,0.43,
42.458,NA,0.54,
43.556,NA,0.51,
43.615,NA,0.57,
39.386,NA,0.4,
42.458,NA,1.03,
56.004,NA,0.26,
40.885,NA,1.31,
,NA,1.18,
43.556,NA,0.59,
39.638,NA,,
43.359,NA,,
43.615,NA,,
58.475,NA,,
,NA,0.25,
42.134,NA,0.48,
38.1,NA,0.5,
46.663,NA,0.46,
46.045,NA,0.41,
43.779,NA,0.34,
39.622,NA,0.36,
45.171,NA,0.29,
39.622,NA,0.32,
43.779,NA,0.57,
58.475,NA,0.43,
38.1,NA,0.32,
45.171,NA,0.4,
46.045,NA,0.38,
46.663,NA,0.51,
,NA,0.42,
42.134,NA,0.32,
42.134,NA,0.4,
43.779,NA,0.46,
58.475,NA,0.49,
,NA,0.79,
38.1,NA,0.61,
39.622,NA,0.55,
45.171,NA,1.13,
46.045,NA,0.75,
43.306,NA,0.98,
42.02,NA,0.46,
48.025,NA,0.84,
49.948,NA,1.02,
42.177,NA,1.01,
50.102,NA,0.81,
,NA,1.05,
44.209,NA,1,
59.507,NA,0.55,
59.568,NA,0.52,
,NA,0.57,
43.306,NA,0.61,
48.025,NA,0.38,
44.209,NA,0.41,
42.02,NA,0.51,
49.948,NA,0.52,
42.177,NA,0.4,
42.177,NA,0.41,
43.306,NA,0.33,
59.568,NA,0.63,
49.948,NA,0.37,
50.102,NA,0.46,
,NA,0.37,
48.025,NA,0.36,
42.02,NA,0.39,
44.209,NA,0.64,
,NA,0.16,
43.306,NA,0.4,
48.025,NA,0.31,
42.177,NA,0.3,
59.568,NA,0.44,
42.02,NA,0.47,
44.209,NA,0.42,
49.948,NA,0.5,
50.102,NA,0.69,
,NA,0.38,
43.572,NA,0.47,
46.837,NA,0.47,
62.153,NA,0.62,
48.125,NA,0.55,
51.892,NA,0.57,
44.475,NA,0.49,
44.172,NA,0.44,
62.153,NA,0.54,
43.572,NA,0.47,
46.837,NA,0.34,
44.172,NA,0.43,
51.344,NA,0.5,
48.125,NA,0.38,
,NA,0.95,
44.475,NA,0.42,
51.892,NA,0.8,
43.572,NA,0.44,
,NA,0.42,
51.344,NA,0.39,
51.892,NA,0.59,
46.837,NA,0.77,
44.172,NA,0.92,
44.475,NA,0.88,
48.125,NA,0.88,
62.153,NA,0.95,
46.837,NA,0.96,
43.572,NA,0.86,
44.475,NA,1.03,
44.172,NA,0.99,
,NA,1.2,
62.153,NA,1.08,
51.344,NA,0.74,
51.892,NA,1.36,
65.192,NA,1.1,
,NA,0.95,
48.125,NA,0.87,
46.35,NA,0.95,
49.72,NA,1.18,
48.898,NA,1.39,
43.918,NA,1.4,
42.75,NA,1.68,
65.192,NA,1.71,
52.515,NA,1.64,
52.518,NA,1.68,
,NA,1.82,
43.918,NA,1.57,
42.75,NA,1.48,
46.35,NA,1.54,
48.898,NA,,
49.72,NA,1.32,
52.515,NA,1.11,
52.518,NA,0.76,
48.898,NA,0.62,
52.518,NA,0.78,
46.35,NA,0.66,
65.192,NA,,
,NA,1.56,
52.515,NA,1.34,
49.72,NA,0.81,
43.918,NA,0.65,
42.75,NA,0.74,
65.192,NA,0.97,
52.518,NA,0.43,
49.72,NA,0.92,
46.35,NA,0.82,
43.918,NA,0.84,
,NA,0.62,
48.898,NA,0.71,
42.75,NA,0.85,
52.515,NA,0.84,
61.019,NA,0.75,
,NA,0.72,
43.075,NA,0.79,
44.275,NA,0.54,
44.675,NA,0.84,
49.14,NA,0.76,
48.377,NA,0.86,
41.087,NA,1.44,
60.725,NA,1.07,
44.275,NA,0.81,
40.034,NA,1.02,
,NA,0.6,
43.075,NA,0.88,
49.14,NA,0.95,
44.675,NA,1.09,
48.377,NA,1.07,
41.087,NA,0.94,
41.087,NA,,
40.034,NA,,
43.075,NA,,
60.725,NA,,
,NA,1.21,
44.275,NA,1.29,
44.675,NA,1.17,
48.377,NA,1.66,
49.14,NA,1.18,
,NA,1.35,
40.034,NA,0.88,
49.14,NA,1.16,
41.087,NA,1.26,
43.075,NA,0.88,
48.377,NA,0.6,
44.275,NA,0.84,
44.675,NA,0.89,
60.725,NA,0.55,
44.154,NA,0.73,
33.911,NA,0.89,
