Temperature,Humidity,pm2_5,CO
22.093,NA,17.03,
20.454,NA,17.01,
19.944,NA,17.04,
17.492,NA,16.97,
19.129,NA,16.97,
15.927,NA,16.95,
19.267,NA,16.94,
17.471,NA,17,
18.045,NA,16.31,
15.884,NA,9.46,
17.697,NA,8.68,
15.7,NA,7.14,
20.142,NA,6.82,
15.927,NA,8.43,
20.142,NA,7.14,
19.267,NA,6.61,
17.471,NA,6.5,
17.697,NA,7.68,
15.7,NA,8.45,
18.045,NA,,
15.884,NA,9.95,
15.927,NA,9.21,
20.142,NA,10.61,
18.045,NA,9.26,
15.884,NA,8.69,
19.267,NA,9.05,
15.884,NA,11.26,
17.697,NA,16.31,
15.927,NA,10.33,
18.045,NA,8.85,
15.7,NA,17.96,
19.267,NA,33.31,
17.471,NA,11.14,
20.142,NA,7.83,
14.753,NA,20.16,
16.288,NA,15.83,
14.434,NA,18.21,
16.258,NA,27.14,
16.471,NA,15.9,
17.989,NA,5.42,
14.145,NA,5.19,
15.851,NA,10.38,
14.434,NA,20.2,
14.753,NA,18.12,
17.989,NA,17.03,
16.258,NA,17.72,
14.145,NA,20.61,
16.288,NA,52.33,
16.471,NA,15.49,
15.851,NA,23.03,
14.753,NA,12.92,
,NA,4.79,
16.471,NA,10.58,
14.434,NA,32.27,
16.258,NA,34.64,
17.989,NA,145.32,
14.145,NA,38.09,
16.288,NA,5.42,
15.851,NA,1.89,
,NA,2.31,
17.989,NA,1.22,
16.258,NA,,
14.753,NA,75.42,
15.851,NA,33.06,
14.434,NA,57.37,
16.288,NA,28.41,
16.471,NA,39.61,
14.145,NA,9.39,
15.554,NA,6.74,
14.135,NA,,
14.596,NA,,
16.604,NA,,
16.26,NA,,
14.903,NA,,
13.523,NA,,
15.058,NA,,
16.292,NA,,
16.604,NA,,
14.135,NA,,
15.554,NA,,
15.058,NA,,
14.596,NA,,
13.523,NA,,
16.26,NA,,
14.903,NA,,
16.292,NA,,
15.554,NA,,
14.596,NA,,
14.135,NA,,
16.604,NA,,
15.058,NA,,
16.26,NA,,
14.903,NA,,
13.523,NA,,
15.554,NA,,
16.604,NA,,
14.135,NA,,
16.26,NA,,
14.903,NA,,
13.523,NA,,
15.058,NA,,
16.292,NA,,
16.106,NA,,
15.012,NA,,
14.515,NA,,
14.429,NA,,
15.134,NA,,
14.432,NA,,
16.185,NA,,
15.89,NA,,
16.839,NA,,
16.106,NA,,
14.429,NA,,
14.432,NA,,
15.134,NA,,
15.012,NA,,
16.185,NA,,
15.89,NA,,
16.839,NA,,
14.429,NA,,
16.839,NA,,
16.106,NA,,
15.89,NA,,
16.185,NA,,
14.515,NA,,
15.012,NA,,
15.134,NA,,
14.432,NA,,
16.106,NA,,
15.134,NA,,
14.429,NA,,
16.185,NA,,
15.89,NA,,
15.012,NA,,
14.515,NA,,
14.432,NA,,
16.839,NA,,
16.265,NA,,
17.813,NA,,
15.163,NA,,
14.798,NA,,
16.826,NA,,
16.072,NA,,
15.636,NA,,
